z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
26,63,Fe,94,239,Pu,0,0.00000000018532,0.000000000028028,0.00000000069035,0.00000000010379,,,2024-08-21
26,64,Fe,94,239,Pu,0,0.00000000046419,0.000000000072845,0.0000000017774,0.000000000271,,,2024-08-21
26,65,Fe,94,239,Pu,0,0.00000000082361,0.00000000016848,0.0000000033866,0.00000000060569,,,2024-08-21
26,66,Fe,94,239,Pu,0,0.0000000011935,0.00000000034168,0.000000005489,0.0000000013574,,,2024-08-21
26,67,Fe,94,239,Pu,0,0.00000000091527,0.00000000034395,0.0000000046037,0.0000000016525,,,2024-08-21
26,68,Fe,94,239,Pu,0,0.00000000054362,0.00000000022615,0.0000000031534,0.0000000012678,,,2024-08-21
26,69,Fe,94,239,Pu,0,0.00000000018655,0.000000000078658,0.0000000010915,0.00000000045729,,,2024-08-21
26,70,Fe,94,239,Pu,0,0.000000000048849,0.000000000020413,0.00000000028128,0.0000000001187,,,2024-08-21
26,71,Fe,94,239,Pu,0,0.0000000000068056,0.0000000000028301,0.000000000036491,0.000000000015303,,,2024-08-21
27,59,Co,94,239,Pu,0,0.0000000000010897,0.0000000000001913,0.0000000000064855,0.00000000000098453,,,2024-08-21
27,61,Co,94,239,Pu,0,0.000000000020974,0.0000000000031462,0.00000000007834,0.000000000011751,,,2024-08-21
27,62,Co,94,239,Pu,0,0.000000000066294,0.0000000000099464,0.00000000024218,0.000000000036328,,,2024-08-21
27,63,Co,94,239,Pu,0,0.00000000020871,0.000000000031307,0.00000000073142,0.00000000010971,,,2024-08-21
27,64,Co,94,239,Pu,0,0.00000000061459,0.000000000092201,0.000000002118,0.0000000003177,,,2024-08-21
27,65,Co,94,239,Pu,0,0.0000000016853,0.00000000025354,0.0000000058541,0.00000000087838,,,2024-08-21
27,66,Co,94,239,Pu,0,0.0000000038702,0.00000000060335,0.000000014584,0.0000000022049,,,2024-08-21
27,67,Co,94,239,Pu,0,0.000000007477,0.0000000013498,0.000000031606,0.0000000049846,,,2024-08-21
27,68,Co,94,239,Pu,0,0.0000000069555,0.0000000017226,0.000000035321,0.0000000073906,,,2024-08-21
27,69,Co,94,239,Pu,0,0.000000010481,0.0000000036935,0.000000058642,0.000000017806,,,2024-08-21
27,70,Co,94,239,Pu,0,0.0000000032406,0.0000000013159,0.000000018939,0.0000000075675,,,2024-08-21
27,71,Co,94,239,Pu,0,0.0000000033161,0.000000001364,0.000000020762,0.000000008531,,,2024-08-21
27,72,Co,94,239,Pu,0,0.00000000085666,0.00000000035413,0.0000000055821,0.0000000023215,,,2024-08-21
27,73,Co,94,239,Pu,0,0.00000000019365,0.000000000081196,0.0000000010945,0.00000000045746,,,2024-08-21
