z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
49,128,In,92,238,U,-3,,,0.00016426,0.000071208,0.0011428,0.00041195,2024-08-21
71,180,Lu,92,238,U,-3,,,,,0.0000000000020353,0.00000000000069537,2024-08-21
27,68,Co,92,238,U,-2,,,0.0000000051192,0.00000000094742,0.00000097422,0.0000001919,2024-08-21
30,73,Zn,92,238,U,-2,,,0.00000011786,0.000000035568,0.000004094,0.0000014516,2024-08-21
31,72,Ga,92,238,U,-2,,,0.000000020022,0.0000000044891,0.0000010004,0.00000021584,2024-08-21
33,84,As,92,238,U,-2,,,0.0017932,0.00038746,0.0039915,0.0005191,2024-08-21
37,90,Rb,92,238,U,-2,,,0.0051481,0.00059079,0.0060608,0.00084084,2024-08-21
37,96,Rb,92,238,U,-2,,,0.0048308,0.001519,0.0018634,0.00076395,2024-08-21
39,90,Y,92,238,U,-2,,,0.00000000071373,0.00000000026373,0.0000000058705,0.0000000020458,2024-08-21
39,102,Y,92,238,U,-2,,,0.0022462,0.00103,0.00056807,0.00020225,2024-08-21
44,113,Ru,92,238,U,-2,,,0.00010066,0.00002463,0.00067935,0.00020297,2024-08-21
45,112,Rh,92,238,U,-2,,,0.000013392,0.0000049084,0.0025736,0.00038912,2024-08-21
46,117,Pd,92,238,U,-2,,,0.0001129,0.00002292,0.0039339,0.00078421,2024-08-21
47,114,Ag,92,238,U,-2,,,0.000000045468,0.00000001919,0.0002417,0.000096947,2024-08-21
49,128,In,92,238,U,-2,,,0.000043129,0.000019187,0.00015708,0.000059259,2024-08-21
50,128,Sn,92,238,U,-2,,,0.0018751,0.0004642,0.011262,0.0019018,2024-08-21
61,148,Pm,92,238,U,-2,,,0.0000000000027194,0.0000000000009876,0.0000000047579,0.0000000018422,2024-08-21
45,108,Rh,92,238,U,-2,,,,,0.00000070013,0.00000029648,2024-08-21
71,180,Lu,92,238,U,-2,,,,,0.000000000013144,0.0000000000018754,2024-08-21
1,1,H,92,238,U,0,,,0.000023537,0.0000040013,0.000013012,0.0000024199,2024-08-21
1,2,H,92,238,U,0,,,0.0000071932,0.0000011077,0.0000039766,0.00000068397,2024-08-21
1,3,H,92,238,U,0,,,0.00010262,0.000010157,0.00006499,0.000014363,2024-08-21
2,3,He,92,238,U,0,,,0.00010262,0.000010157,0.00006499,0.000014363,2024-08-21
2,4,He,92,238,U,0,,,0.001488,0.000086304,0.0008226,0.000078147,2024-08-21
24,61,Cr,92,238,U,0,,,0.0000000000014158,0.00000000000028398,0.0000000050127,0.00000000092987,2024-08-21
24,62,Cr,92,238,U,0,,,0.0000000000031724,0.00000000000085497,0.0000000076886,0.0000000019694,2024-08-21
24,63,Cr,92,238,U,0,,,0.0000000000034819,0.0000000000012905,0.0000000060607,0.0000000022095,2024-08-21
24,64,Cr,92,238,U,0,,,0.0000000000031046,0.0000000000012634,0.0000000039968,0.0000000016142,2024-08-21
24,65,Cr,92,238,U,0,,,0.0000000000014119,0.00000000000059239,0.0000000013574,0.00000000056861,2024-08-21
25,61,Mn,92,238,U,0,,,0.0000000000027576,0.00000000000041494,0.0000000091234,0.0000000013692,2024-08-21
25,62,Mn,92,238,U,0,,,0.0000000000070471,0.0000000000011535,0.00000001651,0.000000002666,2024-08-21
25,63,Mn,92,238,U,0,,,0.000000000027396,0.0000000000043974,0.000000044466,0.0000000070696,2024-08-21
25,64,Mn,92,238,U,0,,,0.0000000000516,0.000000000011834,0.000000061578,0.000000013689,2024-08-21
25,65,Mn,92,238,U,0,,,0.0000000000857,0.000000000026905,0.000000075923,0.000000023297,2024-08-21
25,66,Mn,92,238,U,0,,,0.000000000071743,0.000000000028145,0.000000048289,0.000000017451,2024-08-21
25,67,Mn,92,238,U,0,,,0.000000000050756,0.000000000020958,0.000000019047,0.00000001026,2024-08-21
25,68,Mn,92,238,U,0,,,0.000000000017818,0.0000000000074178,0.0000000046905,0.0000000019522,2024-08-21
25,69,Mn,92,238,U,0,,,0.0000000000045947,0.0000000000019199,0.00000000085434,0.00000000035704,2024-08-21
26,61,Fe,92,238,U,0,,,0.0000000000027576,0.00000000000041494,0.0000000093582,0.0000000014037,2024-08-21
26,62,Fe,92,238,U,0,,,0.000000000010889,0.0000000000016334,0.000000024463,0.0000000036695,2024-08-21
26,63,Fe,92,238,U,0,,,0.000000000038788,0.0000000000058185,0.000000061499,0.0000000092252,2024-08-21
26,64,Fe,92,238,U,0,,,0.00000000012879,0.000000000019341,0.00000014696,0.000000022065,2024-08-21
26,65,Fe,92,238,U,0,,,0.00000000036942,0.000000000056413,0.00000030934,0.000000047119,2024-08-21
26,66,Fe,92,238,U,0,,,0.00000000091752,0.00000000015169,0.00000057205,0.000000070722,2024-08-21
26,67,Fe,92,238,U,0,,,0.0000000014363,0.0000000003562,0.00000049819,0.00000018846,2024-08-21
26,68,Fe,92,238,U,0,,,0.0000000019082,0.00000000063208,0.00000046243,0.00000015016,2024-08-21
26,69,Fe,92,238,U,0,,,0.0000000012414,0.00000000049235,0.00000021183,0.000000083524,2024-08-21
26,70,Fe,92,238,U,0,,,0.00000000063755,0.0000000002688,0.000000077268,0.000000032487,2024-08-21
26,71,Fe,92,238,U,0,,,0.00000000017236,0.000000000072303,0.000000014858,0.0000000062336,2024-08-21
26,72,Fe,92,238,U,0,,,0.000000000034768,0.000000000014504,0.0000000021314,0.00000000087498,2024-08-21
27,61,Co,92,238,U,0,,,0.0000000000027576,0.00000000000041494,0.0000000093582,0.0000000014037,2024-08-21
27,62,Co,92,238,U,0,,,0.000000000010889,0.0000000000016334,0.000000024467,0.0000000036701,2024-08-21
27,63,Co,92,238,U,0,,,0.000000000038788,0.0000000000058185,0.000000061986,0.0000000092979,2024-08-21
27,64,Co,92,238,U,0,,,0.00000000013437,0.000000000020156,0.00000015268,0.000000022902,2024-08-21
27,65,Co,92,238,U,0,,,0.0000000004419,0.000000000066284,0.00000036476,0.000000054714,2024-08-21
27,66,Co,92,238,U,0,,,0.0000000013764,0.0000000002065,0.00000083671,0.000000092059,2024-08-21
27,67,Co,92,238,U,0,,,0.0000000039454,0.00000000059403,0.0000013063,0.00000037946,2024-08-21
27,68,Co,92,238,U,0,,,0.000000006745,0.0000000011125,0.0000016346,0.00000026783,2024-08-21
27,69,Co,92,238,U,0,,,0.00000001821,0.0000000034279,0.00000289,0.00000053112,2024-08-21
27,70,Co,92,238,U,0,,,0.000000010352,0.0000000035343,0.0000011568,0.00000038846,2024-08-21
27,71,Co,92,238,U,0,,,0.000000022246,0.0000000081459,0.0000017636,0.00000063755,2024-08-21
27,72,Co,92,238,U,0,,,0.000000011478,0.0000000046506,0.0000006453,0.00000025621,2024-08-21
27,73,Co,92,238,U,0,,,0.0000000046333,0.0000000019478,0.00000020411,0.000000092076,2024-08-21
27,74,Co,92,238,U,0,,,0.0000000009325,0.00000000038854,0.000000030794,0.000000012825,2024-08-21
