z_daughter,a_daughter,element_daughter,z_parent,z_parent,element_parent,daughter_level_idx,cumulative_thermal_fy,unc_ct,cumulative_fast_fy,unc_cf,cumulative_14mev_fy,unc_c14,Extraction_date
49,128,In,94,241,Pu,-3,0.00038885,0.00019851,0.00034972,0.00013884,,,2024-08-21
71,180,Lu,94,241,Pu,-3,0.0000000000013978,0.00000000000070443,,,,,2024-08-21
27,68,Co,94,241,Pu,-2,0.0000000069908,0.0000000027257,0.000000023217,0.000000008508,,,2024-08-21
30,73,Zn,94,241,Pu,-2,0.00000020776,0.00000007898,0.00000076137,0.00000031043,,,2024-08-21
31,72,Ga,94,241,Pu,-2,0.000000017715,0.0000000066061,0.000000076163,0.000000028636,,,2024-08-21
33,84,As,94,241,Pu,-2,0.00055375,0.00013235,0.00071687,0.00012659,,,2024-08-21
37,90,Rb,94,241,Pu,-2,0.0038171,0.00062745,0.0036572,0.00054544,,,2024-08-21
37,96,Rb,94,241,Pu,-2,0.00056886,0.00020607,0.00097055,0.00032751,,,2024-08-21
39,88,Y,94,241,Pu,-2,0.0000000000052096,0.0000000000018432,0.00000000000171,0.00000000000061783,,,2024-08-21
39,90,Y,94,241,Pu,-2,0.000000029626,0.000000011248,0.000000014103,0.0000000052123,,,2024-08-21
39,102,Y,94,241,Pu,-2,0.00022479,0.000082455,0.00042696,0.0001486,,,2024-08-21
40,90,Zr,94,241,Pu,-2,0.0000000000025991,0.00000000000081332,,,,,2024-08-21
44,113,Ru,94,241,Pu,-2,0.00031888,0.00053107,0.00061005,0.00032862,,,2024-08-21
45,108,Rh,94,241,Pu,-2,0.00040192,0.00014926,0.00021316,0.00011446,,,2024-08-21
45,112,Rh,94,241,Pu,-2,0.00010255,0.000039341,0.00023189,0.00013167,,,2024-08-21
46,117,Pd,94,241,Pu,-2,0.00031849,0.00020095,0.0001253,0.000050048,,,2024-08-21
47,114,Ag,94,241,Pu,-2,0.0000015336,0.0000022519,0.0000023567,0.0000016673,,,2024-08-21
49,128,In,94,241,Pu,-2,0.00012559,0.000065437,0.000091799,0.000037601,,,2024-08-21
50,128,Sn,94,241,Pu,-2,0.0049871,0.001396,0.0036187,0.0007661,,,2024-08-21
61,148,Pm,94,241,Pu,-2,0.00000000088707,0.00000000032413,0.0000000053273,0.0000000019471,,,2024-08-21
71,180,Lu,94,241,Pu,-2,0.000000000022913,0.0000000000060352,0.0000000000064242,0.0000000000017825,,,2024-08-21
1,1,H,94,241,Pu,0,0.000029422,0.0000048249,0.000029422,0.0000048249,,,2024-08-21
1,2,H,94,241,Pu,0,0.0000089917,0.0000013308,0.0000089917,0.0000013308,,,2024-08-21
1,3,H,94,241,Pu,0,0.000141,0.000006063,0.000141,0.000006063,,,2024-08-21
2,3,He,94,241,Pu,0,0.000141,0.000006063,0.000141,0.000006063,,,2024-08-21
2,4,He,94,241,Pu,0,0.00186,0.00007068,0.00186,0.00007068,,,2024-08-21
24,58,Cr,94,241,Pu,0,0.0000000000012507,0.00000000000040065,0.0000000000017979,0.00000000000057686,,,2024-08-21
24,59,Cr,94,241,Pu,0,0.0000000000039372,0.0000000000012498,0.0000000000076099,0.0000000000023055,,,2024-08-21
24,60,Cr,94,241,Pu,0,0.000000000010211,0.0000000000033709,0.000000000018755,0.000000000005935,,,2024-08-21
24,61,Cr,94,241,Pu,0,0.000000000014656,0.0000000000060736,0.000000000029322,0.000000000011463,,,2024-08-21
24,62,Cr,94,241,Pu,0,0.000000000016669,0.0000000000081663,0.000000000039043,0.000000000018482,,,2024-08-21
24,63,Cr,94,241,Pu,0,0.0000000000090783,0.000000000004937,0.000000000026018,0.000000000013943,,,2024-08-21
24,64,Cr,94,241,Pu,0,0.0000000000037874,0.0000000000021367,0.000000000013717,0.0000000000076551,,,2024-08-21
25,58,Mn,94,241,Pu,0,0.0000000000012507,0.00000000000040065,0.0000000000017979,0.00000000000057686,,,2024-08-21
25,59,Mn,94,241,Pu,0,0.0000000000050047,0.0000000000015129,0.0000000000089732,0.000000000002692,,,2024-08-21
25,60,Mn,94,241,Pu,0,0.000000000011417,0.000000000003619,0.000000000020445,0.0000000000063247,,,2024-08-21
25,61,Mn,94,241,Pu,0,0.000000000043215,0.000000000013038,0.000000000077735,0.000000000023362,,,2024-08-21
25,62,Mn,94,241,Pu,0,0.000000000068319,0.000000000023108,0.00000000014388,0.000000000046551,,,2024-08-21
25,63,Mn,94,241,Pu,0,0.0000000001497,0.000000000055403,0.00000000036991,0.00000000012514,,,2024-08-21
25,64,Mn,94,241,Pu,0,0.00000000014555,0.000000000069622,0.00000000044463,0.00000000019495,,,2024-08-21
25,65,Mn,94,241,Pu,0,0.00000000013214,0.000000000069845,0.00000000048016,0.00000000024256,,,2024-08-21
25,66,Mn,94,241,Pu,0,0.000000000059844,0.000000000032837,0.00000000025739,0.00000000014034,,,2024-08-21
25,67,Mn,94,241,Pu,0,0.000000000020564,0.00000000001143,0.00000000010922,0.000000000060935,,,2024-08-21
25,68,Mn,94,241,Pu,0,0.000000000003296,0.000000000001836,0.000000000023116,0.000000000012841,,,2024-08-21
26,58,Fe,94,241,Pu,0,0.0000000000012507,0.00000000000040065,0.0000000000017979,0.00000000000057686,,,2024-08-21
26,59,Fe,94,241,Pu,0,0.0000000000050047,0.0000000000015129,0.0000000000089732,0.000000000002692,,,2024-08-21
